"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12211","Jesse James","DET","TE",26,5,"TE","weighted",27.767696827262,53,0.533665687426556,9.56658291365062,13.7,37.1320639534884,9,-66.6511884942599,321,-67.8333333333333,308,-73.5312549675554,343
"12212","Tyler Kroft","BUF","TE",28,5,"TE","weighted",23.0746639247944,62,0.659014499466746,8.84076692429267,14.1,33.821976744186,10,-71.3442213967275,339,-67.4333333333333,306,-76.8413421768577,356
"12213","Blake Bell","DAL","TE",29,5,"TE","weighted",12.120084548105,92,0.512942987794371,8.37653854670246,3.2,19.9121899736148,11,-82.2988007734169,394,-78.3333333333333,373,-90.751128947429,399
"12257","Chris Conley","JAC","WR",28,5,"WR","weighted",74.8004276469213,77,0.437770990055569,13.0927612040861,60.352,92.2943060498221,11,-51.7357218392382,280,-45.3813333333333,248,-49.6244833387253,286
"12261","Ty Montgomery","NOS","RB",27,5,"RB","weighted",15.6440120845921,116,1.35919627402265,5.63709228476966,11.1,20.6283177325581,12,-100.045344658956,477,-88.8756666666667,436,-119.63995002277,491
"12263","Darren Waller","LVR","TE",28,5,"TE","weighted",119.78571859598,5,13.2517022404713,11.9384987816013,108,136.188355113636,4,25.3668332744582,58,26.4666666666667,59,25.5250361925926,61
"12309","MyCole Pruitt","TEN","TE",28,5,"TE","weighted",19.8129607250755,71,0.354721961819301,5.02894646526736,15.8,24.4348361801242,10,-74.6059245964464,357,-65.7333333333333,299,-86.2284827409195,384
"12317","C.J. Uzomah","CIN","TE",27,5,"TE","weighted",59.3440152761457,32,1.5770899030226,12.2673928340559,49.087,74.7633333333333,8,-35.0748700453762,234,-32.4463333333333,214,-35.8999855877104,244
"12325","Michael Burton","NOS","RB",28,5,"RB","weighted",1.742,152,0.4125,NA,1.742,1.742,22,-113.947356743548,546,-98.2336666666667,506,-138.526267755328,592
"12328","Nick Boyle","BAL","TE",27,5,"TE","weighted",47.5713901292597,38,3.58005679742944,6.91881091779689,37.1,53.1407387862797,9,-46.8474951922622,266,-44.4333333333333,243,-57.5225801347641,300
"12330","James O'Shaughnessy","JAC","TE",28,5,"TE","weighted",26.4319455782313,56,0.510510403926553,6.39105955644516,19.512,32.157247706422,9,-67.9869397432906,327,-62.0213333333333,287,-78.5060712146217,361
"12338","Geremy Davis","FA","WR",28,5,"WR","weighted",20.327,136,0.376331188478964,NA,20.327,20.327,14,-106.20914948616,499,-85.4063333333333,419,-121.591789388547,499
"12378","Geoff Swaim","TEN","TE",27,5,"TE","weighted",6.92368781470292,107,0.278315206445116,6.44037314911927,2.4,12.6207475290698,12,-87.495197506819,419,-79.1333333333333,380,-98.042571391974,428
"12381","Trevor Siemian","FA","QB",29,5,"QB","weighted",0.04,80,0.0749,NA,0.04,0.04,19,-263.486166759947,681,-243.733333333333,648,-296.505255533545,683
"12386","Malcolm Brown","LAR","RB",27,5,"RB","weighted",65.3596113679186,61,0.887885207465558,19.9386681981132,38.75,88.5423546511628,9,-50.3297453756292,274,-61.2256666666667,283,-51.7259131041653,290
